city_name,year,R,R的平方,p值,RMSE,样本数量
日喀则市,2010,0.7673,0.5888,1.195100e-06,0.9379,29.0
日喀则市,2020,0.8921,0.7959,1.604500e-11,0.7283,31.0
日照市,2010,0.9694,0.9397,6.408600e-03,0.0552,5.0
日照市,2020,0.9836,0.9675,2.511300e-03,0.0315,5.0
昆明市,2010,0.9763,0.9531,8.473000e-19,0.0986,28.0
昆明市,2020,0.9789,0.9583,2.290000e-17,0.1077,25.0
昆玉市,2010,,0.0,nan,0.3485,31.0
昆玉市,2020,0.3764,0.1417,3.687200e-02,0.3024,31.0
昌吉回族自治州,2010,0.9235,0.8529,3.573400e-13,0.1195,30.0
昌吉回族自治州,2020,0.9898,0.9797,2.194200e-24,0.0818,29.0
昌江黎族自治县,2010,0.1946,0.0379,3.027700e-01,1.4457,30.0
昌江黎族自治县,2020,0.7227,0.5223,4.407300e-06,1.1433,31.0
昌都市,2010,0.4942,0.2442,6.437700e-03,1.7701,29.0
昌都市,2020,,0.0,nan,2.2739,31.0
昭通市,2010,0.3877,0.1503,3.114600e-02,0.7447,31.0
昭通市,2020,0.8618,0.7427,4.767100e-10,0.4857,31.0
晋中市,2010,0.9015,0.8128,1.071300e-11,0.2379,30.0
晋中市,2020,0.9624,0.9263,2.176100e-17,0.1444,30.0
晋城市,2010,0.7171,0.5142,5.664800e-06,0.4957,31.0
晋城市,2020,0.8988,0.8078,6.675400e-12,0.344,31.0
普洱市,2010,0.838,0.7023,1.409300e-08,0.2422,29.0
普洱市,2020,0.8463,0.7162,3.841600e-09,0.2237,30.0
景德镇市,2010,0.2065,0.0427,2.734800e-01,0.2115,30.0
景德镇市,2020,0.5737,0.3292,9.176500e-04,0.2214,30.0
曲靖市,2010,0.9185,0.8436,2.184100e-12,0.3441,29.0
曲靖市,2020,0.9657,0.9326,2.419100e-17,0.263,29.0
朔州市,2010,0.5211,0.2715,3.752100e-03,0.1856,29.0
朔州市,2020,0.6461,0.4175,1.528800e-04,0.1757,29.0
朝阳市,2010,0.2594,0.0673,1.587800e-01,0.1197,31.0
朝阳市,2020,0.8412,0.7076,3.107600e-09,0.0846,31.0
本溪市,2010,0.6668,0.4446,4.200400e-05,0.3138,31.0
本溪市,2020,0.8912,0.7942,4.059800e-11,0.2198,30.0
来宾市,2010,0.7903,0.6245,3.408800e-07,0.0496,29.0
来宾市,2020,0.6243,0.3898,2.948800e-04,0.0541,29.0
杭州市,2010,0.9734,0.9474,1.896300e-19,0.0678,30.0
杭州市,2020,0.9915,0.9831,1.784300e-25,0.0281,29.0
松原市,2010,0.4567,0.2086,9.806600e-03,0.1799,31.0
松原市,2020,0.7568,0.5727,1.302700e-06,0.1205,30.0
林芝市,2010,,0.0,nan,0.8766,29.0
林芝市,2020,,-0.0,nan,1.0504,30.0
果洛藏族自治州,2010,0.8684,0.7541,1.035100e-09,0.2034,29.0
果洛藏族自治州,2020,0.6116,0.374,2.569200e-04,0.543,31.0
枣庄市,2010,0.971,0.9429,5.976200e-19,0.0426,30.0
枣庄市,2020,0.9635,0.9283,1.481000e-17,0.0542,30.0
柳州市,2010,0.569,0.3237,1.278200e-03,0.0885,29.0
柳州市,2020,0.4685,0.2194,7.862300e-03,0.1214,31.0
株洲市,2010,0.6987,0.4881,2.494300e-05,0.0276,29.0
株洲市,2020,0.9299,0.8648,3.027900e-13,0.0316,29.0
桂林市,2010,0.9717,0.9441,4.452300e-19,0.0194,30.0
