city_name,year,R,R的平方,p值,RMSE,样本数量
朔州市,2010,0.5899,0.348,7.570500e-04,0.3766,29.0
朔州市,2020,0.716,0.5126,1.258700e-05,0.3681,29.0
朝阳市,2010,0.8893,0.7908,2.303800e-11,0.1488,31.0
朝阳市,2020,0.8618,0.7426,4.783100e-10,0.2525,31.0
本溪市,2010,0.9218,0.8497,1.270700e-12,0.1684,29.0
本溪市,2020,0.9344,0.8731,1.277000e-13,0.1785,29.0
来宾市,2010,0.7396,0.547,4.554400e-06,0.1048,29.0
来宾市,2020,0.6939,0.4815,2.982700e-05,0.1097,29.0
杭州市,2010,0.7652,0.5856,1.329500e-06,0.3223,29.0
杭州市,2020,0.7538,0.5682,2.350300e-06,0.2944,29.0
松原市,2010,0.7135,0.5091,6.617000e-06,0.2363,31.0
松原市,2020,0.7652,0.5855,5.337100e-07,0.2197,31.0
林芝市,2010,0.3199,0.1023,9.073400e-02,1.4064,29.0
林芝市,2020,,0.0,nan,1.5143,29.0
果洛藏族自治州,2010,0.7688,0.5911,1.106800e-06,0.278,29.0
果洛藏族自治州,2020,0.5824,0.3391,5.877900e-04,0.5705,31.0
枣庄市,2010,0.6114,0.3739,4.251300e-04,0.0643,29.0
枣庄市,2020,0.7376,0.5441,4.980600e-06,0.0653,29.0
柳州市,2010,0.8436,0.7116,2.537700e-09,0.1216,31.0
柳州市,2020,0.744,0.5535,1.611200e-06,0.1805,31.0
株洲市,2010,0.8007,0.6411,6.356100e-08,0.0384,31.0
株洲市,2020,0.8908,0.7935,4.274800e-11,0.0578,30.0
桂林市,2010,0.9853,0.9709,7.981500e-24,0.0181,31.0
桂林市,2020,0.9015,0.8126,2.540700e-11,0.0433,29.0
梅州市,2010,0.6135,0.3764,4.010700e-04,0.6201,29.0
梅州市,2020,0.7776,0.6047,6.922000e-07,0.4989,29.0
梧州市,2010,0.5346,0.2858,2.340800e-03,0.0892,30.0
梧州市,2020,0.6651,0.4424,6.078900e-05,0.0861,30.0
楚雄彝族自治州,2010,0.7778,0.605,4.240200e-07,0.1983,30.0
楚雄彝族自治州,2020,0.8847,0.7826,1.920100e-10,0.1587,29.0
榆林市,2010,-0.7454,0.5556,5.331100e-06,0.0582,28.0
榆林市,2020,-0.3496,0.1222,6.306400e-02,0.1199,29.0
武威市,2010,0.9209,0.848,5.647800e-13,0.062,30.0
武威市,2020,0.964,0.9293,3.148500e-18,0.0948,31.0
武汉市,2010,0.9278,0.8607,4.514300e-13,0.0413,29.0
武汉市,2020,-0.4932,0.2433,5.615100e-03,0.0513,30.0
毕节市,2010,0.3002,0.0901,1.008800e-01,0.7085,31.0
